country_name,country_code,region,income_level,gdp,edu_exp,pupil_teacher_ratio,primary_enrollment,secondary_enrollment
Madagascar,MDG,Sub-Saharan Africa ,Low income,445.32007,2.7041883,41.1927,142.88914,37.90689
Maldives,MDV,South Asia,Upper middle income,9644.906,4.6223054,10.34037,99.01309,68.92825
Mexico,MEX,Latin America & Caribbean ,Upper middle income,10021.238,5.05088,26.92701,106.96343,100.98227
Marshall Islands,MHL,East Asia & Pacific,Upper middle income,3764.3442,4.2420125,16.88246,109.85728,88.45281
North Macedonia,MKD,Europe & Central Asia,Upper middle income,5262.6865,4.870345,14.40654,96.88582,84.98363
Mali,MLI,Sub-Saharan Africa ,Low income,704.82166,3.80152,42.70695,72.14445,40.11573
Malta,MLT,Middle East & North Africa,High income,25481.898,5.02398,13.49445,100.30551,95.15712
Myanmar,MMR,East Asia & Pacific,Lower middle income,1166.733,2.2456043,16.88246,104.993615,88.83529
Montenegro,MNE,Europe & Central Asia,Upper middle income,6517.193,4.870345,13.023185,101.20362,91.86341
Mongolia,MNG,East Asia & Pacific,Upper middle income,3838.9214,4.3871565,28.222,98.00403,88.83529
Northern Mariana Islands,MNP,East Asia & Pacific,High income,17665.102,4.2420125,16.88246,104.993615,88.83529
Mozambique,MOZ,Sub-Saharan Africa ,Low income,610.5638,6.010834,54.66026,114.50957,34.76219
Mauritania,MRT,Sub-Saharan Africa ,Lower middle income,1554.949,2.829566,35.81193,96.38195,31.06388
Mauritius,MUS,Sub-Saharan Africa ,Upper middle income,9507.871,4.75847,18.82093,97.32072,93.9682
Malawi,MWI,Sub-Saharan Africa ,Low income,539.60535,3.4444966,69.50969,138.30826,40.23437
Malaysia,MYS,East Asia & Pacific,Upper middle income,9648.68,4.70381,11.521,98.80011,84.55257
Namibia,NAM,Sub-Saharan Africa ,Upper middle income,4774.1064,9.850768,37.95966,129.00056,41.66374
New Caledonia,NCL,East Asia & Pacific,High income,30858.725,4.2420125,16.88246,104.993615,88.83529
Niger,NER,Sub-Saharan Africa ,Low income,485.66257,4.48669,36.6289,74.57255,20.89797
Nigeria,NGA,Sub-Saharan Africa ,Lower middle income,2585.7336,0.43695492,37.95966,83.749825,45.60858
Nicaragua,NIC,Latin America & Caribbean ,Lower middle income,2074.4543,4.07843,17.487205000000003,107.67295,97.67412
Netherlands,NLD,Europe & Central Asia,High income,45793.812,5.34816,11.62356,106.05942,114.13792
Norway,NOR,Europe & Central Asia,High income,74809.97,7.52335,8.86857,99.37405,115.21012
Nepal,NPL,South Asia,Lower middle income,875.54364,3.2942536,23.09923,142.99103,68.92825
Nauru,NRU,East Asia & Pacific,High income,7703.4316,6.252603,16.88246,98.24104,88.83529
New Zealand,NZL,East Asia & Pacific,High income,38639.35,5.70735,14.49628,98.53814,114.88999
Oman,OMN,Middle East & North Africa,High income,18808.309,4.8436,15.79669,104.03535,102.17273
Pakistan,PAK,South Asia,Lower middle income,1380.4702,2.38609,46.34065,74.84799,35.17425
Panama,PAN,Latin America & Caribbean ,High income,14082.655,3.3667,21.89367,96.0124,77.0092
Peru,PER,Latin America & Caribbean ,Upper middle income,6231.7114,3.96933,17.9767,99.69332,99.59427
Philippines,PHL,East Asia & Pacific,Lower middle income,2909.8582,2.830523,30.26629,108.6644,86.640945
Palau,PLW,East Asia & Pacific,High income,15690.759,4.2420125,16.88246,104.993615,88.83529
Papua New Guinea,PNG,East Asia & Pacific,Lower middle income,2484.5964,1.666,16.88246,104.993615,88.83529
Poland,POL,Europe & Central Asia,High income,12637.522,4.81701,13.023185,100.3719,109.41479
Puerto Rico,PRI,Latin America & Caribbean ,High income,29763.488,4.2224901500000005,13.89943,103.24725,99.7226
Portugal,PRT,Europe & Central Asia,High income,19215.781,4.88554,13.30619,107.0116,116.87174
Paraguay,PRY,Latin America & Caribbean ,Upper middle income,5879.338,3.3337781,17.487205000000003,98.234184,97.67412
West Bank and Gaza,PSE,Middle East & North Africa,Lower middle income,3272.1543,4.66322,23.99819,95.43193,86.92709
French Polynesia,PYF,East Asia & Pacific,High income,19166.959,4.2420125,16.88246,104.993615,88.83529
Qatar,QAT,Middle East & North Africa,High income,68985.3,4.8436,11.62677,101.98237,101.94683
Romania,ROU,Europe & Central Asia,High income,8977.018,3.10695,18.90704,89.05341,91.33771
Russian Federation,RUS,Europe & Central Asia,High income,9277.714,3.83403,20.14375,98.38278,96.32926
Rwanda,RWA,Sub-Saharan Africa ,Low income,733.9986,3.64712,58.34317,137.2432,39.4099
Saudi Arabia,SAU,Middle East & North Africa,High income,22453.572,4.8436,10.89539,102.69215,103.27601
Sudan,SDN,Sub-Saharan Africa ,Low income,1292.3796,3.67009,37.95966,76.19315,47.60297
Senegal,SEN,Sub-Saharan Africa ,Lower middle income,1218.0061,5.45638,32.09004,84.87369,51.28273
Singapore,SGP,East Asia & Pacific,High income,55645.605,2.8630934,16.88246,101.672035,107.78135
Solomon Islands,SLB,East Asia & Pacific,Lower middle income,2045.4789,4.2420125,25.73093,111.437065,88.83529
Sierra Leone,SLE,Sub-Saharan Africa ,Low income,945.1482,3.67009,33.75042,116.402054,38.51056
El Salvador,SLV,Latin America & Caribbean ,Upper middle income,3790.3408,3.90988,29.69441,104.58033,70.69819
San Marino,SMR,Europe & Central Asia,High income,43146.824,3.1191428,13.023185,94.76163,96.68158
Somalia,SOM,Sub-Saharan Africa ,Low income,445.58307,3.67009,37.95966,102.820222,41.66374
Serbia,SRB,Europe & Central Asia,Upper middle income,5820.322,4.870345,15.24293,102.18219,97.15955
South Sudan,SSD,Sub-Saharan Africa ,Low income,1080.1472,1.46556,46.75029,71.69853,11.23095
Sao Tome and Principe,STP,Sub-Saharan Africa ,Lower middle income,1298.1095,4.69795,38.77644,107.26395,82.37638
Suriname,SUR,Latin America & Caribbean ,Upper middle income,8813.617,5.534796,13.33105,108.63051,73.01001
Slovak Republic,SVK,Europe & Central Asia,High income,16442.076,4.57843,15.24933,98.31211,91.89573
Slovenia,SVN,Europe & Central Asia,High income,20697.275,4.90953,16.90462,98.38159,109.65522
Sweden,SWE,Europe & Central Asia,High income,51197.953,7.4439,12.09754,119.62419,137.46297
Eswatini,SWZ,Sub-Saharan Africa ,Lower middle income,3393.5337,5.354947,27.58272,125.18033,79.51607
Sint Maarten (Dutch part),SXM,Latin America & Caribbean ,High income,37839.63,4.2224901500000005,17.487205000000003,104.15829,97.67412
Seychelles,SYC,Sub-Saharan Africa ,High income,15333.105,4.91461,13.72171,119.94119,92.09117
Syrian Arab Republic,SYR,Middle East & North Africa,Low income,847.7316,4.8436,15.79669,102.21433,95.796685
Turks and Caicos Islands,TCA,Latin America & Caribbean ,High income,25736.102,2.985262,17.487205000000003,93.666306,80.49473
Chad,TCD,Sub-Saharan Africa ,Low income,747.58844,2.3428316,55.54179,91.56592,23.02866
Togo,TGO,Sub-Saharan Africa ,Low income,751.0524,3.71098,44.20973,128.25159,41.66374
Thailand,THA,East Asia & Pacific,Upper middle income,5688.8535,3.8639762,16.88246,105.30585,126.03599
Tajikistan,TJK,Europe & Central Asia,Lower middle income,956.9163,4.96774,22.28986,91.26617,103.39604
Turkmenistan,TKM,Europe & Central Asia,Upper middle income,5759.498,4.870345,13.023185,100.3719,103.39604
Timor-Leste,TLS,East Asia & Pacific,Lower middle income,1319.593,6.292498,16.88246,126.81859,73.057846
Tonga,TON,East Asia & Pacific,Upper middle income,4123.9033,4.2420125,21.63312,117.360054,103.26122
Trinidad and Tobago,TTO,Latin America & Caribbean ,High income,20024.754,4.4533935,17.487205000000003,104.15829,97.67412
Tunisia,TUN,Middle East & North Africa,Lower middle income,4014.9478,6.22045,15.79669,106.11183,86.76495
Turkiye,TUR,Europe & Central Asia,Upper middle income,11049.995,4.3055,18.40513,107.29418,107.24319
Tuvalu,TUV,East Asia & Pacific,Upper middle income,3357.8342,4.2420125,12.71795,113.15589,88.83529
Tanzania,TZA,Sub-Saharan Africa ,Lower middle income,939.1273,4.1948657,37.95966,83.42219,27.23949
Uganda,UGA,Sub-Saharan Africa ,Low income,862.93463,2.32152,42.9168,103.62459,41.66374
Ukraine,UKR,Europe & Central Asia,Upper middle income,2094.4739,5.7425685,12.38447,87.85099,90.5029
Uruguay,URY,Latin America & Caribbean ,High income,17125.902,4.20637,11.76053,109.24047,108.0433
United States,USA,North America,High income,57040.207,4.93063,14.45723,100.29991,97.65255
Uzbekistan,UZB,Europe & Central Asia,Lower middle income,2803.1902,5.4945335,19.03192,96.84696,92.24281
St. Vincent and the Grenadines,VCT,Latin America & Caribbean ,Upper middle income,7353.7354,4.9561524,14.89632,115.01119,118.1077
Virgin Islands (U.S.),VIR,Latin America & Caribbean ,High income,34007.35,4.2224901500000005,17.487205000000003,104.15829,97.67412
Viet Nam,VNM,East Asia & Pacific,Lower middle income,2577.5688,3.4166045,19.2242,106.82076,88.19828
Vanuatu,VUT,East Asia & Pacific,Lower middle income,2746.5918,5.60338,26.56507,112.68093,53.39009
Samoa,WSM,East Asia & Pacific,Lower middle income,4084.3608,4.61519,16.88246,105.46126,84.0876
Kosovo,XKX,Europe & Central Asia,Upper middle income,3520.6284,4.870345,13.023185,100.3719,103.39604
"Yemen, Rep.",YEM,Middle East & North Africa,Low income,1362.1738,4.8436,15.79669,102.21433,95.796685
South Africa,ZAF,Sub-Saharan Africa ,Upper middle income,6112.274,5.48285,30.3322,111.67825,110.16893
Zambia,ZMB,Sub-Saharan Africa ,Lower middle income,1295.8779,4.62433,42.74181,103.85216,41.66374
Zimbabwe,ZWE,Sub-Saharan Africa ,Lower middle income,1386.4229,3.67009,37.95966,101.52105,41.66374
